,id,object_name,chain,object_type,address,number
2004,21493,Школа № 198,нет,столовая,"город Москва, Ленинский проспект, дом 39А",60
2005,21551,Школа № 1265,нет,столовая,"город Москва, улица Фотиевой, дом 14, корпус 1",125
2006,21552,Школа № 1260,нет,столовая,"город Москва, улица Фотиевой, дом 14, корпус 3",38
2007,21492,Школа № 22,нет,столовая,"город Москва, Университетский проспект, дом 4А",60
2008,21548,Школа № 26,нет,столовая,"город Москва, Университетский проспект, дом 3",70
2009,21549,Школа № 25,нет,столовая,"город Москва, Университетский проспект, дом 7",80
2010,21540,Школа № 120,нет,столовая,"город Москва, Ломоносовский проспект, дом 4, корпус 3",225
2011,29388,Буфет ГБОУ «Школа №118»,нет,столовая,"город Москва, улица Строителей, дом 15",72
2012,29385,Буфет ГБОУ «Гимназия № 1514»,нет,столовая,"город Москва, улица Крупской, дом 12",76
2013,29386,Буфет ГБОУ «Гуманитарный лицей № 1536»,нет,столовая,"город Москва, Ленинский проспект, дом 83А",74
2014,29444,Буфет ГБОУ «Гуманитарный лицей № 1536»,нет,столовая,"город Москва, улица Панфёрова, дом 8, корпус 1",76
2015,28047,МАРИ,нет,столовая,"город Москва, Авиамоторная улица, дом 50, строение 1",190
2016,28044,СТОЛОВАЯ ЦИАМ ИМ.БАРАНОВА,нет,столовая,"город Москва, Авиамоторная улица, дом 2",160
2017,28045,РОСИНТЕР-РЕСТОРАНТС,нет,столовая,"город Москва, Душинская улица, дом 7, строение 1",180
2018,21802,КАФЕ КОСТА,нет,кафе,"город Москва, Душинская улица, дом 7, строение 1",25
2019,153470,"Столовая при ГБУЗ ГКБ им. С.П. Боткина, филиал ЖК № 12 ДЗМ",нет,столовая,"город Москва, Малая Пироговская улица, дом 15",140
2020,153467,Столовая при Филипповской школе,нет,столовая,"город Москва, Усачёва улица, дом 52",50
2021,27988,СТОЛОВАЯ,нет,столовая,"город Москва, Полярная улица, дом 33, строение 2",52
2022,27183,YOKO,нет,ресторан,"город Москва, Соймоновский проезд, дом 5",50
2023,152095,Столовая при ГБОУ Школа 171,нет,столовая,"город Москва, Комсомольский проспект, дом 47А",20
2024,152107,Столовая при ГБОУ Школа 171,нет,столовая,"город Москва, улица Хамовнический Вал, дом 28, строение 2",30
2025,153475,Столовая при ГБОУ «Первый московский хоспис им. В.В. Миллионщиковой»,нет,столовая,"город Москва, улица Доватора, дом 10, строение 1",60
2026,27751,Олимпиец,нет,столовая,"город Москва, Лужнецкая набережная, дом 8, строение 1",98
2027,146583,ЛАДЮРЭ РУС,нет,ресторан,"город Москва, Никольская улица, дом 5/1, строение 3",44
2028,153479,Столовая при ГБУ ТЦСО филиал Хамовники,нет,столовая,"город Москва, улица Тимура Фрунзе, дом 3, строение 4",30
2029,22627,РИВЕР,нет,кафе,"город Москва, Малый Власьевский переулок, дом 12, строение 2",24
2030,21729,РАЙСЕН,нет,кафе,"город Москва, Ветошный переулок, дом 9",25
2031,153765,Буфет при ФГБОУ ВО МГЛУ,нет,буфет,"город Москва, улица Остоженка, дом 36",0
2032,140311,Petite Pierre Cafe,нет,кафе,"город Москва, Пречистенская набережная, дом 15, строение 2",36
2033,26834,Винный кофейный бар 45,нет,бар,"город Москва, Гоголевский бульвар, дом 17, строение 1",20
2034,27320,ГЕНАЦВАЛЕ,нет,ресторан,"город Москва, улица Остоженка, дом 12/1, строение 1",85
