,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
3741,048270,улица Зворыкина,58484863,ул. Зворыкина,ulicza Zvory'kina,001,682020,0809,77000000430000900,
3742,048275,улица Эйнштейна,58484864,ул. Эйнштейна,ulicza E'jnshtejna,001,682020,0809,77000000430001300,
3743,048280,улица Блеза Паскаля,58484865,ул. Блеза Паскаля,ulicza Bleza Paskalya,001,682020,0809,77000000430000800,
3744,048285,улица Джеймса Максвелла,58484866,ул. Джеймса Максвелла,ulicza Dzhejmsa Maksvella,001,682020,0809,77000000430001400,
3745,048290,улица Малевича,58484867,ул. Малевича,ulicza Malevicha,001,682020,0809,77000000430000200,
3746,048295,улица Алессандро Вольта,58484868,ул. Алессандро Вольта,ulicza Alessandro Vol`ta,001,682020,0809,77000000430001000,
3747,048300,улица Вильгельма Рентгена,58484869,ул. Вильгельма Рентгена,ulicza Vil`gel`ma Rentgena,001,682020,0809,77000000430001500,
3748,048305,улица Андерсена,58484870,ул. Андерсена,ulicza Andersena,001,,1103,77004000000018800,
3749,048310,Буковая аллея,58484871,Буковая аллея,Bukovaya alleya,009,,1103,77000000000760900,
3750,048315,улица Акиньшинская,58484872,ул. Акиньшинская,ulicza Akin`shinskaya,001,735140,1105,,
3751,048320,улица Юрьев Сад,58484873,ул. Юрьев Сад,ulicza Yur`ev Sad,001,734380,1102,77003000010000100,
3752,048325,Земляничная улица,58484874,Земляничная ул.,Zemlyanichnaya ulicza,001,,1204,77008000000000200,
3753,048330,1-я Фиалковая улица,58484875,1-я Фиалковая ул.,Pervaya Fialkovaya ulicza,001,,1204,77008000000000900,
3754,048335,2-я Фиалковая улица,58484876,2-я Фиалковая ул.,Vtoraya Fialkovaya ulicza,001,,1204,77008000000000400,
3755,048340,3-я Фиалковая улица,58484877,3-я Фиалковая ул.,Tret'ya Fialkovaya ulicza,001,,1204,77008000000000300,
3756,048345,4-я Фиалковая улица,58484878,4-я Фиалковая ул.,Chetvyortaya Fialkovaya ulicza,001,,1204,77008000000001300,
